CONSTITUENT_ID,AGE,GENDER,CITY,STATE,COUNTRY,ZIPCODE,EMAIL,PHONE,MARRIED,CONSTITUENT_ID,No of Events Attended,CONSTITUENT_ID,Total Amount donated,Donated (yes/no)
1059248,77,Male,Rivers State        ,No State,NG,     ,0,0,1,NULL,0,NULL,0,0
1059281,74,Female,Aurora,Colorado,USA,80014,0,1,0,NULL,0,NULL,0,0
1059400,62,Female,Delavan,Illinois,USA,61734,0,1,1,NULL,0,NULL,0,0
1059824,62,Male,Longmont,Colorado,USA,80501,0,1,0,NULL,0,NULL,0,0
1059907,64,Female,Edwards,Illinois,USA,61528,1,1,1,NULL,0,NULL,0,0
1059909,74,Female,Yucaipa,California,USA,92399,0,1,0,NULL,0,NULL,0,0
1059922,59,Female,Durham,North Carolina,USA,27712,0,1,0,NULL,0,NULL,0,0
1060956,107,Female,,No State,USA,,0,1,0,NULL,0,1060956,20,1
1061968,61,Female,North Aurora,Illinois,USA,60542,0,1,0,NULL,0,NULL,0,0
1061991,70,Female,Champaign,Illinois,USA,61822,1,1,0,NULL,0,NULL,0,0
1062023,64,Male,Chicago,Illinois,USA,60660,1,1,0,NULL,0,NULL,0,0
1062068,60,Female,Champaign,Illinois,USA,61821,1,1,0,NULL,0,NULL,0,0
1062120,65,Female,Oviedo,Florida,USA,32765,1,1,0,NULL,0,NULL,0,0
1062132,65,Female,Aspen,Colorado,USA,81612,0,1,0,NULL,0,NULL,0,0
1062138,66,Female,Barrington,Illinois,USA,60010,0,1,0,NULL,0,NULL,0,0
1062144,60,Female,Hudsonville,Michigan,USA,49426,0,0,0,NULL,0,NULL,0,0
1062151,58,Female,Chicago,Illinois,USA,60656,1,1,1,1062151,1,NULL,0,0
1062156,59,Female,Evanston,Illinois,USA,60202,0,1,0,NULL,0,NULL,0,0
1063400,60,Female,Johnstown,Colorado,USA,80534,1,1,0,NULL,0,NULL,0,0
1063428,58,Female,Deerfield,Illinois,USA,60015,1,1,1,NULL,0,NULL,0,0
1063465,68,Male,Quincy,Illinois,USA,62301,1,1,1,NULL,0,NULL,0,0
1063502,60,Female,Roseville,California,USA,95747,1,1,1,NULL,0,NULL,0,0
1064331,38,Female,Sullivan,Illinois,USA,61951,1,1,0,NULL,0,NULL,0,0
1064448,24,Female,Rockford,Illinois,USA,61114,1,1,0,NULL,0,NULL,0,0
1065305,97,Female,Des Plaines,Illinois,USA,60016,0,1,0,1065305,2,1065305,10,1
1067251,0,Male,,No State,USA,,0,1,0,NULL,0,1067251,40,1
1068016,60,Female,Carlsbad,California,USA,92010,1,1,1,NULL,0,NULL,0,0
1068071,60,Female,Libertyville,Illinois,USA,60048,0,1,1,NULL,0,NULL,0,0
1068078,0,Female,Machias,Maine,USA,4654,1,1,0,NULL,0,NULL,0,0
1068231,65,Male,Plainfield,Illinois,USA,60586,0,1,0,NULL,0,NULL,0,0
1068265,60,Female,Colorado Springs,Colorado,USA,80921,1,1,0,NULL,0,NULL,0,0
1068328,61,Female,Northbrook,Illinois,USA,60062,0,1,0,NULL,0,NULL,0,0
1068400,60,Female,Bloomington,Illinois,USA,61704,0,1,1,NULL,0,NULL,0,0
1068578,73,Female,Buchanan,Michigan,USA,49107,1,1,0,NULL,0,NULL,0,0
1068613,62,Male,Hortonville,Wisconsin,USA,54944,0,1,0,NULL,0,NULL,0,0
1068711,63,Female,Holiday Hills,Illinois,USA,60050,1,1,0,NULL,0,NULL,0,0
1068757,58,Female,Chicago,Illinois,USA,60640,1,1,0,NULL,0,NULL,0,0
1070521,62,Male,Collinsville,Illinois,USA,62234,1,1,1,NULL,0,NULL,0,0
1070581,59,Female,Huntsville,Alabama,USA,35801,0,1,0,NULL,0,NULL,0,0
1070592,66,Female,Bayside,New York,USA,11364,0,1,0,NULL,0,NULL,0,0
1070600,61,Female,Rantoul,Illinois,USA,61866,1,1,0,NULL,0,NULL,0,0
1070627,68,Female,Galesburg,Illinois,USA,61401,0,1,0,NULL,0,1070627,50,1
1070866,62,Female,Phoenix,Arizona,USA,85028,1,1,0,NULL,0,NULL,0,0
1072044,0,Female,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1072101,88,Female,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1072751,23,Female,Ridge Farm,Illinois,USA,61870,1,1,0,NULL,0,NULL,0,0
1072824,24,Female,Oak Park,Illinois,USA,60302,1,1,0,NULL,0,NULL,0,0
1074130,93,Female,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1074984,60,Female,Fort Collins,Colorado,USA,80525,1,1,1,1074984,3,NULL,0,0
1075101,60,Female,Eugene,Oregon,USA,97405,0,1,0,NULL,0,NULL,0,0
1075244,67,Male,Frankfort,Illinois,USA,60423,0,1,1,1075244,1,NULL,0,0
1075255,58,Female,Urbana,Illinois,USA,61801,0,1,0,NULL,0,NULL,0,0
1075260,64,Female,Farmer City,Illinois,USA,61842,1,0,1,1075260,1,NULL,0,0
1075410,62,Female,Decatur,Illinois,USA,62521,1,1,0,1075410,2,NULL,0,0
1075526,63,Female,Taylorville,Illinois,USA,62568,1,1,1,NULL,0,NULL,0,0
107564,78,Female,Los Angeles,California,USA,90027,1,1,1,107564,1,107564,33177,1
107669,43,Female,Lock Haven,Pennsylvania,USA,17745,0,1,0,NULL,0,NULL,0,0
1076830,62,Female,Sugar Grove,Illinois,USA,60554,1,1,1,NULL,0,NULL,0,0
1076831,61,Female,Atlanta,Georgia,USA,30328,1,1,0,NULL,0,NULL,0,0
107692,41,Female,Carlock,Illinois,USA,61725,1,1,1,NULL,0,NULL,0,0
1076961,66,Female,Dixon,Illinois,USA,61021,1,1,1,NULL,0,NULL,0,0
1077062,66,Male,Crystal Lake,Illinois,USA,60012,1,1,0,NULL,0,NULL,0,0
1077177,60,Female,Peoria,Illinois,USA,61603,0,1,0,NULL,0,NULL,0,0
1077183,59,Female,Fort Mill,South Carolina,USA,29715,1,1,0,NULL,0,NULL,0,0
107719,40,Female,Mt Zion,Illinois,USA,62549,1,1,1,NULL,0,NULL,0,0
1077223,64,Female,Petersburg,Illinois,USA,62675,1,1,0,NULL,0,NULL,0,0
1077283,57,Female,Bethesda,Maryland,USA,20817,0,1,0,NULL,0,NULL,0,0
1077316,59,Female,Highland Park,Illinois,USA,60035,1,1,0,NULL,0,NULL,0,0
1077317,62,Female,Fort Atkinson,Wisconsin,USA,53538,0,1,0,NULL,0,1077317,75,1
1077324,60,Female,Mahomet,Illinois,USA,61853,1,1,0,NULL,0,NULL,0,0
1077492,62,Male,Chicago,Illinois,USA,60660,1,1,0,NULL,0,NULL,0,0
1077493,59,Female,Fayetteville,Arkansas,USA,72701,0,0,0,NULL,0,NULL,0,0
1077514,58,Female,Champaign,Illinois,USA,61821,0,1,0,NULL,0,NULL,0,0
1077626,40,Male,Lovington,Illinois,USA,61937,1,1,0,NULL,0,NULL,0,0
1077672,23,Female,Champaign,Illinois,USA,61821,1,1,0,NULL,0,NULL,0,0
1077700,24,Female,Bath,Michigan,USA,48808,1,1,0,NULL,0,NULL,0,0
1077862,32,Female,Urbana,Illinois,USA,61801,1,1,0,NULL,0,NULL,0,0
